OBJECTID,Join_Count,TARGET_FID,JOIN_FID,FID_LandCover_Elicott,Id,gridcode,FID_soils,AREASYMBOL,SPATIALVER,MUSYM,MUKEY,HydroSG,CN,Land_Cover,Acres,Percent_Area,compositeCN,Id_1,gridcode_1,Shape_Length_1,Shape_Area_1,Shape_Length,Shape_Area
84,1,84,4,46,510703,41,111,MD027,6,GnB,793003,C,73,Deciduous Forest,0.1890681,0.0000797,0.0058191,4,4,2334.942669772015961,158029.114002325659385,174.887735946646558,765.131328791227133
85,1,85,4,46,510703,41,177,MD027,6,UaF,628165,,,Deciduous Forest,0.0966993,0.0000408,,4,4,2334.942669772015961,158029.114002325659385,111.400081113184470,391.328176500433869
86,1,86,4,47,510704,22,79,MD027,6,MaD,793434,B,69,"Developed, Low Intensity",1.9993446,0.0008430,0.0581636,4,4,2334.942669772015961,158029.114002325659385,397.702777671593367,8091.060554067077646
87,1,87,4,47,510704,22,83,MD027,6,MaC,793433,B,69,"Developed, Low Intensity",0.0008083,0.0000003,0.0000235,4,4,2334.942669772015961,158029.114002325659385,9.903517123937247,3.271059101856868
88,1,88,4,47,510704,22,84,MD027,6,MaC,793433,B,69,"Developed, Low Intensity",0.0275706,0.0000116,0.0008021,4,4,2334.942669772015961,158029.114002325659385,50.230254006958091,111.574142989924525
89,1,89,4,47,510704,22,111,MD027,6,GnB,793003,C,79,"Developed, Low Intensity",0.0808520,0.0000341,0.0026930,4,4,2334.942669772015961,158029.114002325659385,74.025990638794696,327.196578789933881
90,1,90,3,47,510704,22,146,MD027,6,GgB,792989,B,69,"Developed, Low Intensity",2.4746671,0.0010434,0.0719913,3,5,1989.681620013967859,198287.644651192909805,676.235143672740264,10014.622341142294317
92,1,92,2,49,510881,43,5,MD027,6,BaA,792298,D,79,Mixed Forest,0.1521871,0.0000642,0.0050690,2,1,2184.823690626288681,218008.217427300143754,113.157511520465533,615.879178039697308
93,1,93,4,50,510882,22,83,MD027,6,MaC,793433,B,69,"Developed, Low Intensity",0.4222215,0.0001780,0.0122830,4,4,2334.942669772015961,158029.114002325659385,171.620244089355481,1708.669672451566839
94,1,94,4,50,510882,22,111,MD027,6,GnB,793003,C,79,"Developed, Low Intensity",0.0225682,0.0000095,0.0007517,4,4,2334.942669772015961,158029.114002325659385,50.928855893974934,91.330328051347365
95,1,95,3,51,510883,22,146,MD027,6,GgB,792989,B,69,"Developed, Low Intensity",0.3036887,0.0001280,0.0088347,3,5,1989.681620013967859,198287.644651192909805,169.768422046524705,1228.984737447160569
96,1,96,4,52,511059,41,83,MD027,6,MaC,793433,B,60,Deciduous Forest,0.1521522,0.0000641,0.0038490,4,4,2334.942669772015961,158029.114002325659385,101.065148243726327,615.738132296498179
97,1,97,4,52,511059,41,111,MD027,6,GnB,793003,C,73,Deciduous Forest,0.0510496,0.0000215,0.0015712,4,4,2334.942669772015961,158029.114002325659385,62.722606778248718,206.590321065313390
98,1,98,4,52,511059,41,177,MD027,6,UaF,628165,,,Deciduous Forest,0.0191931,0.0000081,,4,4,2334.942669772015961,158029.114002325659385,50.959382666331351,77.671546666128080
99,1,99,4,53,511060,24,83,MD027,6,MaC,793433,B,,"Developed, High Intensity",0.2584743,0.0001090,,4,4,2334.942669772015961,158029.114002325659385,172.657841803420467,1046.008300744244934
100,1,100,4,54,511061,23,79,MD027,6,MaD,793434,B,69,"Developed, Medium Intensity",0.8807213,0.0003713,0.0256213,4,4,2334.942669772015961,158029.114002325659385,280.071288471167577,3564.152423843258020
101,1,101,4,54,511061,23,83,MD027,6,MaC,793433,B,69,"Developed, Medium Intensity",1.7370515,0.0007324,0.0505331,4,4,2334.942669772015961,158029.114002325659385,492.363069710037280,7029.597854374543203
102,1,102,4,54,511061,23,111,MD027,6,GnB,793003,C,79,"Developed, Medium Intensity",0.0646757,0.0000273,0.0021542,4,4,2334.942669772015961,158029.114002325659385,69.582072595529297,261.733105592055722
103,1,103,3,54,511061,23,146,MD027,6,GgB,792989,B,69,"Developed, Medium Intensity",0.7918367,0.0003338,0.0230356,3,5,1989.681620013967859,198287.644651192909805,228.494700136160702,3204.449420662955617
105,1,105,3,55,511062,21,146,MD027,6,GgB,792989,B,69,"Developed, Open Space",0.1012792,0.0000427,0.0029463,3,5,1989.681620013967859,198287.644651192909805,99.621210891137153,409.862398762586679
107,1,107,3,56,511063,23,146,MD027,6,GgB,792989,B,69,"Developed, Medium Intensity",0.0007267,0.0000003,0.0000211,3,5,1989.681620013967859,198287.644651192909805,8.530121661710416,2.940669979622320
108,1,108,3,57,511246,23,4,MD027,6,GmC,793002,C,79,"Developed, Medium Intensity",0.3248642,0.0001370,0.0108204,3,5,1989.681620013967859,198287.644651192909805,191.914751307020481,1314.678667440532308
109,1,109,3,57,511246,23,15,MD027,6,MaC,793433,B,69,"Developed, Medium Intensity",0.1277073,0.0000538,0.0037152,3,5,1989.681620013967859,198287.644651192909805,113.091681697345180,516.813221483264670
110,1,110,3,57,511246,23,79,MD027,6,MaD,793434,B,69,"Developed, Medium Intensity",0.1658630,0.0000699,0.0048252,3,5,1989.681620013967859,198287.644651192909805,120.632629101770405,671.223754819206647
111,1,111,3,57,511246,23,146,MD027,6,GgB,792989,B,69,"Developed, Medium Intensity",0.0487500,0.0000206,0.0014182,3,5,1989.681620013967859,198287.644651192909805,69.987918656020170,197.284356564332739
112,1,112,3,58,511247,22,15,MD027,6,MaC,793433,B,69,"Developed, Low Intensity",0.0290046,0.0000122,0.0008438,3,5,1989.681620013967859,198287.644651192909805,60.256799218359028,117.377431759120952
113,1,113,3,58,511247,22,146,MD027,6,GgB,792989,B,69,"Developed, Low Intensity",0.1231825,0.0000519,0.0035835,3,5,1989.681620013967859,198287.644651192909805,98.873537482097291,498.501746392949883
114,1,114,3,59,511248,21,126,MD027,6,MaC,793433,B,69,"Developed, Open Space",0.0303309,0.0000128,0.0008824,3,5,1989.681620013967859,198287.644651192909805,90.536027756441797,122.744981885610542
115,1,115,3,59,511248,21,146,MD027,6,GgB,792989,B,69,"Developed, Open Space",0.0030889,0.0000013,0.0000899,3,5,1989.681620013967859,198287.644651192909805,26.522070854604348,12.500450084278063
116,1,116,4,60,511423,22,83,MD027,6,MaC,793433,B,69,"Developed, Low Intensity",0.4447897,0.0001875,0.0129395,4,4,2334.942669772015961,158029.114002325659385,179.999999988824129,1799.999999776482582
117,1,117,4,61,511424,23,83,MD027,6,MaC,793433,B,69,"Developed, Medium Intensity",0.4447897,0.0001875,0.0129395,4,4,2334.942669772015961,158029.114002325659385,179.999999988824129,1799.999999776482582
118,1,118,3,62,511425,22,4,MD027,6,GmC,793002,C,79,"Developed, Low Intensity",0.2313288,0.0000975,0.0077050,3,5,1989.681620013967859,198287.644651192909805,139.466051360390765,936.154271461837880
119,1,119,3,62,511425,22,15,MD027,6,MaC,793433,B,69,"Developed, Low Intensity",0.3699297,0.0001560,0.0107617,3,5,1989.681620013967859,198287.644651192909805,235.681173526940597,1497.052443101550352
120,1,120,3,62,511425,22,79,MD027,6,MaD,793434,B,69,"Developed, Low Intensity",0.0006691,0.0000003,0.0000195,3,5,1989.681620013967859,198287.644651192909805,9.325833795343838,2.707900033507932
121,1,121,3,62,511425,22,146,MD027,6,GgB,792989,B,69,"Developed, Low Intensity",0.3737646,0.0001576,0.0108733,3,5,1989.681620013967859,198287.644651192909805,214.411161673725815,1512.571713611612267
122,1,122,4,63,511601,22,4,MD027,6,GmC,793002,C,79,"Developed, Low Intensity",0.0844804,0.0000356,0.0028138,4,4,2334.942669772015961,158029.114002325659385,92.289035452696112,341.880189545813892
123,1,123,4,63,511601,22,83,MD027,6,MaC,793433,B,69,"Developed, Low Intensity",0.1379144,0.0000581,0.0040121,4,4,2334.942669772015961,158029.114002325659385,104.481096351685551,558.119810454186108
124,1,124,3,64,511602,23,15,MD027,6,MaC,793433,B,69,"Developed, Medium Intensity",0.2223948,0.0000938,0.0064698,3,5,1989.681620013967859,198287.644651192909805,120.000000009313226,900.000000139698386
125,1,125,3,65,511603,22,146,MD027,6,GgB,792989,B,69,"Developed, Low Intensity",0.2223948,0.0000938,0.0064698,3,5,1989.681620013967859,198287.644651192909805,120.000000000000000,900.000000000000000
126,1,126,3,66,511604,23,4,MD027,6,GmC,793002,C,79,"Developed, Medium Intensity",0.6121882,0.0002581,0.0203904,3,5,1989.681620013967859,198287.644651192909805,187.520182873831942,2477.437801834304992
127,1,127,3,66,511604,23,15,MD027,6,MaC,793433,B,69,"Developed, Medium Intensity",1.6451819,0.0006936,0.0478605,3,5,1989.681620013967859,198287.644651192909805,581.170031499077822,6657.814777369017975
128,1,128,3,66,511604,23,79,MD027,6,MaD,793434,B,69,"Developed, Medium Intensity",0.0009796,0.0000004,0.0000285,3,5,1989.681620013967859,198287.644651192909805,8.993596200765023,3.964373623379973
129,1,129,3,66,511604,23,146,MD027,6,GgB,792989,B,69,"Developed, Medium Intensity",7.3577566,0.0031021,0.2140469,3,5,1989.681620013967859,198287.644651192909805,1741.307658314998662,29775.784122385015507
130,1,130,4,67,511792,23,4,MD027,6,GmC,793002,C,79,"Developed, Medium Intensity",0.0540196,0.0000228,0.0017993,4,4,2334.942669772015961,158029.114002325659385,71.443796975928691,218.609587063768629
131,1,131,4,67,511792,23,15,MD027,6,MaC,793433,B,69,"Developed, Medium Intensity",0.1683752,0.0000710,0.0048983,4,4,2334.942669772015961,158029.114002325659385,107.747172637301830,681.390413075929700
132,1,132,3,68,511793,24,4,MD027,6,GmC,793002,C,,"Developed, High Intensity",1.2843975,0.0005415,,3,5,1989.681620013967859,198287.644651192909805,353.247330910929747,5197.772324775944071
133,1,133,3,68,511793,24,15,MD027,6,MaC,793433,B,,"Developed, High Intensity",1.3827457,0.0005830,,3,5,1989.681620013967859,198287.644651192909805,398.397209314670135,5595.773560033858303
134,1,134,3,68,511793,24,79,MD027,6,MaD,793434,B,,"Developed, High Intensity",0.4608143,0.0001943,,3,5,1989.681620013967859,198287.644651192909805,176.815506585161557,1864.849148103058269
135,1,135,3,68,511793,24,83,MD027,6,MaC,793433,B,,"Developed, High Intensity",1.2283665,0.0005179,,3,5,1989.681620013967859,198287.644651192909805,335.790368890382808,4971.022821534405011
