OBJECTID,FID_LandCover_Elicott,Id,gridcode,FID_soils,AREASYMBOL,SPATIALVER,MUSYM,MUKEY,HydroSG,Shape_Length,Shape_Area,CN,Land_Cover,Acres,Percent_Area,compositeCN
1394,573,527062,41,80,MD027,6,LoB,793428,C,177.431577235926312,1279.924370766699212,73,Deciduous Forest,0.3162762,0.0001333,0.0097343
1395,573,527062,41,200,MD027,6,WcB,793659,D,136.614764690026732,1187.608359349581860,79,Deciduous Forest,0.2934644,0.0001237,0.0097746
1396,574,527063,41,190,MD027,6,LoC,793429,C,120.000000000000000,900.000000000000000,73,Deciduous Forest,0.2223948,0.0000938,0.0068448
1397,575,527064,41,190,MD027,6,LoC,793429,C,239.999999998137355,2700.000000083819032,73,Deciduous Forest,0.6671845,0.0002813,0.0205345
1398,576,527065,21,190,MD027,6,LoC,793429,C,112.521304070035001,576.562500035797711,79,"Developed, Open Space",0.1424717,0.0000601,0.0047454
1399,577,527066,21,190,MD027,6,LoC,793429,C,180.000000000000000,1799.999999944120646,79,"Developed, Open Space",0.4447897,0.0001875,0.0148148
1400,578,527067,22,25,MD027,6,LrD,793430,C,22.798797250174314,22.059235175637621,79,"Developed, Low Intensity",0.0054510,0.0000023,0.0001816
1401,578,527067,22,190,MD027,6,LoC,793429,C,213.211793912988639,2677.940765103759077,79,"Developed, Low Intensity",0.6617336,0.0002790,0.0220407
1402,579,527068,43,30,MD027,6,LrF,793431,C,112.858384883386123,666.940896366196398,73,Mixed Forest,0.1648047,0.0000695,0.0050723
1403,579,527068,43,163,MD027,6,GoB,793004,C,120.431302435801854,577.888904954380337,73,Mixed Forest,0.1427995,0.0000602,0.0043950
1404,579,527068,43,201,MD027,6,WcB,793659,D,16.878412751010210,10.907503401094045,79,Mixed Forest,0.0026953,0.0000011,0.0000898
1405,580,527069,22,30,MD027,6,LrF,793431,C,151.572250504495400,1184.630791981989205,79,"Developed, Low Intensity",0.2927286,0.0001234,0.0097500
1406,580,527069,22,39,MD027,6,LoB,793428,C,182.422594380179220,2230.359442459734964,79,"Developed, Low Intensity",0.5511338,0.0002324,0.0183569
1407,581,527070,21,39,MD027,6,LoB,793428,C,94.403097895405111,513.687792876441563,79,"Developed, Open Space",0.1269350,0.0000535,0.0042279
1408,581,527070,21,152,MD027,6,MgF,793439,B,68.062424823189133,279.995572188577967,69,"Developed, Open Space",0.0691884,0.0000292,0.0020128
