PolygonID,LCID,HydroSG,CN,Acres,PCT_Area,CCN,CatchmentID
212,22,D,84,1.456111,0.0006139,0.0515689,3
213,22,,,0.151782,0.000064,,8
214,22,D,84,0.0706129,0.0000298,0.0025008,8
215,23,,,0.2153139,0.0000908,,8
216,23,D,84,0.2294758,0.0000968,0.008127,8
217,21,C,79,1.1063533,0.0004665,0.0368498,4
218,21,B,69,1.3981884,0.0005895,0.0406752,3
219,21,B,69,1.3867087,0.0005847,0.0403412,4
220,21,,,9.4428129,0.0039812,,6
221,22,,,0.2223948,0.0000938,,8
222,23,,,0.0002671,0.0000001,,8
223,23,D,84,0.2221278,0.0000937,0.0078668,8
224,24,D,,1.4537203,0.0006129,,9
225,22,,,0.2223948,0.0000938,,8
226,21,,,3.8184462,0.0016099,,8
227,22,D,84,0.1424717,0.0000601,0.0050457,8
228,23,,,0.6984289,0.0002945,,8
229,23,D,84,1.3958616,0.0005885,0.0494352,8
230,22,D,84,0.2223948,0.0000938,0.0078762,9
231,41,B,60,0.6768886,0.0002854,0.0171231,8
232,41,B,60,0.0860113,0.0000363,0.0021758,5
233,41,B,60,5.1402888,0.0021672,0.1300329,5
234,21,D,84,11.4644842,0.0048336,0.4060208,2
235,21,B,69,1.0966194,0.0004623,0.0319021,4
236,21,C,79,1.8362873,0.0007742,0.0611621,4
237,21,B,69,1.419219,0.0005984,0.041287,2
238,21,B,69,1.045645,0.0004409,0.0304192,4
239,21,B,69,0.1026323,0.0000433,0.0029857,4
240,21,B,69,4.8780646,0.0020567,0.1419094,4
241,21,C,79,1.6770008,0.000707,0.0558566,4
242,21,B,69,0.494514,0.0002085,0.0143861,1
243,21,B,69,10.3917971,0.0043813,0.3023112,2
244,21,B,69,0.2251552,0.0000949,0.0065501,1
245,21,B,69,0.2372115,0.0001,0.0069008,8
246,21,B,69,0.8769459,0.0003697,0.0255115,1
247,21,B,69,5.3531389,0.002257,0.1557299,4
248,21,,,11.3082457,0.0047677,,1
249,21,B,69,0.2246087,0.0000947,0.0065342,4
250,21,B,69,26.9748192,0.0113729,0.7847333,2
251,21,B,69,7.1922202,0.0030323,0.2092312,5
252,21,B,69,1.2851472,0.0005418,0.0373866,1
253,21,C,79,0.3295153,0.0001389,0.0109753,5
254,23,,,0.2929232,0.0001235,,8
255,23,D,84,0.1518665,0.000064,0.0053784,8
256,21,B,69,0.7555631,0.0003186,0.0219803,8
257,21,,,0.0394876,0.0000166,,8
258,21,B,69,0.1003249,0.0000423,0.0029186,8
259,21,,,0.0420925,0.0000177,,8
260,22,,,2.0946321,0.0008831,,8
261,22,D,84,0.1293163,0.0000545,0.0045798,8
262,22,,,0.19361,0.0000816,,8
263,22,D,84,0.0287849,0.0000121,0.0010194,8
264,21,B,69,0.034623,0.0000146,0.0010072,17
265,21,B,69,0.1611501,0.0000679,0.0046881,17
266,21,,,0.8895794,0.0003751,,8
267,43,,,0.1424717,0.0000601,,8
268,23,D,84,1.4429603,0.0006084,0.0511032,9
269,22,B,69,0.0153982,0.0000065,0.000448,17
270,22,B,69,0.493876,0.0002082,0.0143675,17
271,22,,,0.2223948,0.0000938,,8
272,43,,,0.4447897,0.0001875,,8
273,21,,,1.4142922,0.0005963,,8
274,22,,,0.2223948,0.0000938,,8
275,24,D,,0.6671845,0.0002813,,9
276,23,D,84,0.2223948,0.0000938,0.0078762,9
277,22,A,49,0.6281788,0.0002648,0.0129776,17
278,22,B,69,0.0044674,0.0000019,0.00013,17
279,22,B,69,0.0234042,0.0000099,0.0006809,17
280,22,D,84,2.4571269,0.001036,0.0870204,17
281,23,C,79,0.0531497,0.0000224,0.0017703,10
282,24,D,,0.1773236,0.0000748,,10
283,24,,,0.0606189,0.0000256,,8
284,24,D,,0.729908,0.0003077,,10
285,43,,,0.3102995,0.0001308,,8
286,24,D,,0.2223948,0.0000938,,9
287,23,C,79,0.1807359,0.0000762,0.0060199,10
288,24,D,,0.7322236,0.0003087,,8
289,22,,,0.2223948,0.0000938,,8
290,23,,,0.6487073,0.0002735,,8
291,23,D,84,0.870647,0.0003671,0.0308344,8
292,24,,,0.0604812,0.0000255,,8
293,24,D,,6.8557215,0.0028905,,8
294,24,D,,0.4447897,0.0001875,,9
295,22,A,49,0.1335675,0.0000563,0.0027594,17
296,22,B,69,0.0089042,0.0000038,0.000259,17
297,41,A,36,0.152725,0.0000644,0.0023181,17
298,41,B,60,0.9622151,0.0004057,0.024341,17
299,41,B,60,0.0310122,0.0000131,0.0007845,17
300,41,D,79,0.1884167,0.0000794,0.0062757,17
301,41,B,60,0.0000817,0,0.0000021,17
302,41,C,73,0.1521054,0.0000641,0.0046815,17
303,41,D,79,0.0116467,0.0000049,0.0003879,20
304,41,B,60,0.0876219,0.0000369,0.0022166,20
305,23,,,0.0037632,0.0000016,,8
306,23,D,84,0.3065363,0.0001292,0.0108561,8
307,41,B,60,0.5460774,0.0002302,0.013814,17
308,41,C,73,0.3698353,0.0001559,0.0113827,17
309,22,D,84,4.1267567,0.0017399,0.1461513,9
310,23,A,49,0.8895794,0.0003751,0.0183779,17
311,22,A,49,0.4161426,0.0001755,0.0085971,17
312,22,B,69,0.0286471,0.0000121,0.0008334,17
313,41,B,60,0.4198898,0.000177,0.0106219,17
314,41,B,60,0.1834341,0.0000773,0.0046403,17
315,41,D,79,0.0638607,0.0000269,0.002127,17
316,22,B,69,0.0711156,0.00003,0.0020688,17
317,22,D,84,0.1512792,0.0000638,0.0053576,17
318,21,D,84,0.306848,0.0001294,0.0108672,20
319,21,B,69,0.7551096,0.0003184,0.0219671,20
320,41,D,79,0.8633946,0.000364,0.0287575,20
321,41,B,60,0.1289663,0.0000544,0.0032624,20
322,23,D,84,0.3430715,0.0001446,0.0121501,20
323,21,D,84,0.0202216,0.0000085,0.0007162,20
324,24,D,,0.6850926,0.0002888,,10
